refid,type,tokenid,numviews,hasliked,datecreated
576a655161b5502dcf40602be1f3519a89b71658,ethAddress,993,0,t,2018-12-04 18:58:10.126986+01
576a655161b5502dcf40602be1f3519a89b71658,ethAddress,893,0,t,2018-12-04 18:58:18.286929+01
576a655161b5502dcf40602be1f3519a89b71658,ethAddress,996,0,t,2018-12-04 18:58:23.068487+01
9ab42ddb5f586095e46454183c14c9f5,fingerprint,66,0,f,2018-12-04 18:58:45.217888+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1110,1,f,2018-12-04 18:43:11.947676+01
9ab42ddb5f586095e46454183c14c9f5,fingerprint,1129,1,f,2018-12-04 18:59:46.841282+01
9ab42ddb5f586095e46454183c14c9f5,fingerprint,1102,0,f,2018-12-04 19:01:14.027487+01
9ab42ddb5f586095e46454183c14c9f5,fingerprint,1091,0,f,2018-12-04 19:01:18.971434+01
9ab42ddb5f586095e46454183c14c9f5,fingerprint,1079,0,f,2018-12-04 19:01:22.833843+01
9ab42ddb5f586095e46454183c14c9f5,fingerprint,1065,0,f,2018-12-04 19:01:35.609874+01
9ab42ddb5f586095e46454183c14c9f5,fingerprint,1047,0,f,2018-12-04 19:01:42.553847+01
9ab42ddb5f586095e46454183c14c9f5,fingerprint,1027,0,f,2018-12-04 19:01:53.529362+01
60d38778adbbeeac88f741b833cbb9877228eea0,ethAddress,1027,0,t,2018-12-04 19:01:55.870225+01
2e7ce7ce4053fa9094cc70f28fc3ec6f,fingerprint,999,0,f,2018-12-04 19:04:13.474582+01
576a655161b5502dcf40602be1f3519a89b71658,ethAddress,936,0,t,2018-12-04 19:05:32.960213+01
bfb6f45be1db5256ef3ac05babf5420c,fingerprint,1110,1,f,2018-12-04 19:04:49.852143+01
576a655161b5502dcf40602be1f3519a89b71658,ethAddress,935,0,t,2018-12-04 19:05:37.275651+01
576a655161b5502dcf40602be1f3519a89b71658,ethAddress,967,0,t,2018-12-04 19:05:40.415034+01
9ab42ddb5f586095e46454183c14c9f5,fingerprint,1123,1,f,2018-12-04 19:01:01.513622+01
576a655161b5502dcf40602be1f3519a89b71658,ethAddress,999,0,t,2018-12-04 19:06:08.068488+01
5c390794ff5709fd6d9a648ab29446c2,fingerprint,1096,1,f,2018-12-04 18:55:58.545329+01
4ea69bfcb1e0e3f158943144c0fe2697,fingerprint,1116,1,f,2018-12-04 18:43:08.920297+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,999,1,f,2018-12-04 19:04:04.396795+01
ac875179c11d4641fe6afe30b3421dde,fingerprint,135,1,f,2018-12-04 18:43:15.25417+01
5c390794ff5709fd6d9a648ab29446c2,fingerprint,750,1,f,2018-12-04 18:56:56.077757+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,993,1,f,2018-12-04 18:57:58.016555+01
9ab42ddb5f586095e46454183c14c9f5,fingerprint,1025,1,f,2018-12-04 18:44:43.15145+01
9ab42ddb5f586095e46454183c14c9f5,fingerprint,1045,1,f,2018-12-04 19:01:47.501867+01
5c390794ff5709fd6d9a648ab29446c2,fingerprint,1099,1,f,2018-12-04 18:56:30.343711+01
ac875179c11d4641fe6afe30b3421dde,fingerprint,770,1,f,2018-12-04 18:53:10.996838+01
5c390794ff5709fd6d9a648ab29446c2,fingerprint,970,1,f,2018-12-04 18:57:58.931073+01
ac875179c11d4641fe6afe30b3421dde,fingerprint,1131,1,f,2018-12-04 18:52:58.614097+01
