tokenId,metadataURI,number,total
82,https://ipfs.pixura.io/ipfs/QmfDqFLKs5nkRbr12wC2VfLhfshbUNgYT4XNHy4FzHmx9X,1,1
73,https://ipfs.pixura.io/ipfs/Qmec6LwV1upXiCJuqVS2v6s3QfKs9XS9SCvTBPd8HmvK3H,2,3
91,https://ipfs.pixura.io/ipfs/QmNPLqERrZVsaxaJ14Li6fuvY2tmTxtg7YcENtKZuZ3Gr1,1,1
83,https://ipfs.pixura.io/ipfs/QmPZmktFdALCuyLPtN8UmsCxdc3BJKhWKo1Twz84r1U7af,1,1
121,https://ipfs.pixura.io/ipfs/QmbeouzjSmfCa88WcTnsY5stsuhxmNsxgvoGM85KRJmyjz,1,1
70,https://ipfs.pixura.io/ipfs/QmdFV7fGqwm8oc4wei4sRjxV5tt8bDnCgrZvZaNLcUKkmh,3,3
75,https://ipfs.pixura.io/ipfs/QmSrcyJLQazFAdW2jH4TRSSkPbUuBWWn9PKycUi4bDCxbZ,1,3
123,https://ipfs.pixura.io/ipfs/QmewFwdzCaUUc3CoNe3qAjRZzfxczDSGhMVGsSCnbQzpwD,1,1
77,https://ipfs.pixura.io/ipfs/QmSrcyJLQazFAdW2jH4TRSSkPbUuBWWn9PKycUi4bDCxbZ,3,3
124,https://ipfs.pixura.io/ipfs/Qmf3aiThy6o9dhqisu9ZKNhydZqVx1XSriQ59fxT1A23Kt,1,1
62,https://ipfs.pixura.io/ipfs/QmetZm7QejmZeYYDKNHdS34ukVRYf5zfLm8QznzSP5NhYY,3,5
110,https://ipfs.pixura.io/ipfs/Qma3XVYFYBqDFyj83aqjNm9YchuzQvYFgouMuUsjWx82T5,1,1
86,https://ipfs.pixura.io/ipfs/QmS82F69ftbjBhbEU8kkWGC6axh4S9J4bGarAe1cdziexY,1,1
89,https://ipfs.pixura.io/ipfs/QmVGnxfHTmkCwyoAV15wW9w1G8Guy74wSvpJsqVELoV6fY,1,1
94,https://ipfs.pixura.io/ipfs/QmaABa7LbxNtuxA5tqSBqL1HqKwF8m2x5E72UfStxVWTam,1,1
127,https://ipfs.pixura.io/ipfs/QmWVQ2NVMzk5kmfJ2okvnDQkrhsjRWPrekn5XEVHtSwMg8,1,1
144,https://ipfs.pixura.io/ipfs/QmaJDSf34a7mj5yUYvLAUShvLWF6JMp6uTazbTX4nGJtvu,1,1
175,https://ipfs.pixura.io/ipfs/QmaQ2movoys3WbxmQsNjGC7cJEbvoF61gRkLCcS8vejVic,1,1
150,https://ipfs.pixura.io/ipfs/QmXbYgkmVYhkAosNJLNsu1vxvHF6zy3DAxcFDRY11fPfz1,1,1
162,https://ipfs.pixura.io/ipfs/QmZw2GT61MnFXDtD1E5UNGpBZ4VVuzgsHBDgciDJ9NtE1F,1,1
138,https://ipfs.pixura.io/ipfs/QmNbECBmxLXbauwu9AKCYcbZGh8wZDMwWDzKvWMDV8R8yD,1,1
165,https://ipfs.pixura.io/ipfs/QmXcW3Kue1hfRVrzacPVN9eeWhDPsfJTjZQY9pESTa9M9D,1,1
158,https://ipfs.pixura.io/ipfs/Qmas9G8LPy5G6wHJ5qy8bgJUSSP154U8u1rfV2g6mdugzi,1,1
159,https://ipfs.pixura.io/ipfs/Qma84mu76Ct19SocJRnNywEcYuviBWUtVPVCq1WJt8SKGp,1,1
145,https://ipfs.pixura.io/ipfs/QmXAqaTZyfSCRupAqr6VbNjUPdUgxf9ef8SZRv71kbSoPB,1,1
167,https://ipfs.pixura.io/ipfs/QmdxdzUUZApSheKiCVpKyq3dv2ZekG2Wat8TQ32g3DPduJ,1,1
260,https://ipfs.pixura.io/ipfs/Qmf2m2WyX9LdWbSisksXpnLSAGED1eTFuxNaxF28ctt7pa,1,1
180,https://ipfs.pixura.io/ipfs/QmZFSYBbU1J85c7cvSzRiKjAYPhpVc8izHzfQeWUZRRoYK,1,1
176,https://ipfs.pixura.io/ipfs/QmWyxcEecWoM3vXg7hFDBBUGq3w7A6ec74EGqp41P7BKVa,1,1
346,https://ipfs.pixura.io/ipfs/Qmc9ZvnWPPcEwg1n4c4D5bLzS7KyFZwxXQeBPBGMTpqJRA,1,1
160,https://ipfs.pixura.io/ipfs/QmeGgHDbiDJSbCxXY6uy7gr78Jtr7Hz5LyW2QTUiRhAEku,1,1
174,https://ipfs.pixura.io/ipfs/QmRehybqr75vkRJb2iq86K67Gei8Et7pusdgU3hjYchWLQ,1,1
178,https://ipfs.pixura.io/ipfs/QmNbtgPxGBn5Ru2rgPthYJFPsLRJWvR8EbDp82qxSNuzvE,1,1
