address,tokenId,dateCreated
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,21,2018-12-04 18:38:13.668393+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,1053,2018-12-04 18:38:56.118817+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1052,2018-12-04 18:40:05.315596+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,989,2018-12-04 18:40:09.508052+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,953,2018-12-04 18:40:13.114873+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,904,2018-12-04 18:40:16.836376+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,758,2018-12-04 18:40:43.08195+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,754,2018-12-04 18:40:44.728789+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,752,2018-12-04 18:40:46.024258+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,750,2018-12-04 18:40:47.167915+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,704,2018-12-04 18:40:48.433622+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,674,2018-12-04 18:40:51.133027+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,672,2018-12-04 18:40:53.81986+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,626,2018-12-04 18:40:55.103838+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,588,2018-12-04 18:40:56.425959+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,526,2018-12-04 18:40:57.743367+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,504,2018-12-04 18:40:59.074461+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,190,2018-12-04 18:41:00.528488+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,173,2018-12-04 18:41:01.7294+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,171,2018-12-04 18:41:04.515859+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,138,2018-12-04 18:41:08.105645+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,86,2018-12-04 18:41:29.210719+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,61,2018-12-04 18:41:30.439385+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,44,2018-12-04 18:41:32.05679+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,37,2018-12-04 18:41:33.116511+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,20,2018-12-04 18:41:34.512612+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1131,2018-12-04 18:41:51.971758+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,66,2018-12-04 18:42:01.686846+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,948,2018-12-04 18:42:11.287028+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1130,2018-12-04 18:42:21.567037+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1129,2018-12-04 18:43:24.963109+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1128,2018-12-04 18:43:37.85969+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1127,2018-12-04 18:43:43.334394+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1124,2018-12-04 18:43:47.7067+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1123,2018-12-04 18:43:51.405126+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1122,2018-12-04 18:43:53.699337+01
60d38778adbbeeac88f741b833cbb9877228eea0,1129,2018-12-04 19:00:48.953465+01
