tokenId,thumbnail,standard
38,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=150&h=150&gifq=100&s=a6bb66d1732e4832b1d0f464c87444ff,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=400&gifq=100&s=9073c36e9f0b501c40211da262bed0d8
39,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=150&h=150&gifq=100&s=a6bb66d1732e4832b1d0f464c87444ff,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=400&gifq=100&s=9073c36e9f0b501c40211da262bed0d8
40,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=150&h=150&gifq=100&s=a6bb66d1732e4832b1d0f464c87444ff,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=400&gifq=100&s=9073c36e9f0b501c40211da262bed0d8
41,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=150&h=150&gifq=100&s=a6bb66d1732e4832b1d0f464c87444ff,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=400&gifq=100&s=9073c36e9f0b501c40211da262bed0d8
42,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=150&h=150&gifq=100&s=a6bb66d1732e4832b1d0f464c87444ff,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=400&gifq=100&s=9073c36e9f0b501c40211da262bed0d8
43,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=150&h=150&gifq=100&s=a6bb66d1732e4832b1d0f464c87444ff,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=400&gifq=100&s=9073c36e9f0b501c40211da262bed0d8
30,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=150&h=150&gifq=100&s=850cb6f128daeeb15e93bf7026450abd,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYuQTGHchou4j6F74PVMbL3FGfKAFo2xxEqAt8kw6J4kc?w=400&gifq=100&s=16a29df806f05087442cd36870f2341d
37,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=150&h=150&gifq=100&s=a6bb66d1732e4832b1d0f464c87444ff,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPMqLKk5P9cGYyicvZj6wicMT82D8pKhgrTkS36yeikHY?w=400&gifq=100&s=9073c36e9f0b501c40211da262bed0d8
44,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmamMs5QsdzAdpf4yb23gTzvWww8roZqr2VnWBNqAh42ie?w=150&h=150&gifq=100&s=06c422fe2fa283ad396a3b4d741ab339,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmamMs5QsdzAdpf4yb23gTzvWww8roZqr2VnWBNqAh42ie?w=400&gifq=100&s=ab691832100c1164ce49eb226a45739d
45,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPZXBSLhAamcbEvBR8oGN9xHEUqgUw8bHVr6jRWPVMSWs?w=150&h=150&gifq=100&s=8f29e35a91e14b4ed865bf09dfd59372,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPZXBSLhAamcbEvBR8oGN9xHEUqgUw8bHVr6jRWPVMSWs?w=400&gifq=100&s=15377c038088bea79ec0b4ceb8bb1621
46,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmTH5b1cAErG8ASfpFSZcGrmKQE92Wk2fK11LqbvGLVfPX?w=150&h=150&gifq=100&s=4ca02f48942e9e3a3a8d3aa3b2f8e38a,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmTH5b1cAErG8ASfpFSZcGrmKQE92Wk2fK11LqbvGLVfPX?w=400&gifq=100&s=d2752db700598cf6615b80527dd938c2
